skill_id,node_type,domain,detected_tool,matched_keyword,secondary_domains,verb_prefix
abusing-dpapi-for-credential-access,skill,active_directory_and_identity_attacks,,dpapi,,abusing
abusing-shadow-credentials-for-privesc,skill,active_directory_and_identity_attacks,,shadow-credentials,,abusing
achieving-cmmc-level-2-compliance,skill,compliance_and_grc,,cmmc,,achieving
acquiring-disk-image-with-dd-and-dcfldd,skill,digital_forensics_and_incident_response,dd-and-dcfldd,disk-image,,acquiring
analyzing-active-directory-acl-abuse,skill,active_directory_and_identity_attacks,,active-directory,,analyzing
analyzing-android-malware-with-apktool,skill,mobile_security,apktool,android,malware_analysis_and_reverse_engineering,analyzing
analyzing-api-gateway-access-logs,skill,application_and_api_security,,api-gateway,,analyzing
analyzing-apt-group-with-mitre-navigator,skill,threat_intelligence,mitre-navigator,mitre-navigator,,analyzing
analyzing-azure-activity-logs-for-threats,skill,cloud_security,,azure,,analyzing
analyzing-bootkit-and-rootkit-samples,skill,malware_analysis_and_reverse_engineering,,rootkit,,analyzing
analyzing-browser-forensics-with-hindsight,skill,digital_forensics_and_incident_response,hindsight,browser-forensics,,analyzing
analyzing-campaign-attribution-evidence,skill,threat_intelligence,,campaign-attribution,,analyzing
analyzing-certificate-transparency-for-phishing,skill,network_security_and_perimeter,,certificate-transparency,email_and_social_engineering_security,analyzing
analyzing-cloud-storage-access-patterns,skill,cloud_security,,cloud-storage,,analyzing
analyzing-cobalt-strike-beacon-configuration,skill,malware_analysis_and_reverse_engineering,,cobalt-strike-beacon,,analyzing
analyzing-cobaltstrike-malleable-c2-profiles,skill,malware_analysis_and_reverse_engineering,,malleable-c2,offensive_security_and_red_teaming,analyzing
analyzing-command-and-control-communication,skill,malware_analysis_and_reverse_engineering,,command-and-control-communication,,analyzing
analyzing-cyber-kill-chain,skill,threat_intelligence,,cyber-kill-chain,,analyzing
analyzing-disk-image-with-autopsy,skill,digital_forensics_and_incident_response,autopsy,disk-image,,analyzing
analyzing-dns-logs-for-exfiltration,skill,detection_engineering_and_threat_hunting,,dns-logs-for-exfiltration,,analyzing
analyzing-docker-container-forensics,skill,digital_forensics_and_incident_response,,forensics,container_and_kubernetes_security,analyzing
analyzing-email-headers-for-phishing-investigation,skill,email_and_social_engineering_security,,phishing,,analyzing
analyzing-ethereum-smart-contract-vulnerabilities,skill,web3_and_smart_contract_security,,smart-contract,,analyzing
analyzing-golang-malware-with-ghidra,skill,malware_analysis_and_reverse_engineering,ghidra,malware,,analyzing
analyzing-heap-spray-exploitation,skill,malware_analysis_and_reverse_engineering,,heap-spray,,analyzing
analyzing-indicators-of-compromise,skill,threat_intelligence,,indicators-of-compromise,,analyzing
analyzing-ios-app-security-with-objection,skill,mobile_security,objection,ios-app,,analyzing
analyzing-kubernetes-audit-logs,skill,container_and_kubernetes_security,,kubernetes,,analyzing
analyzing-linux-audit-logs-for-intrusion,skill,digital_forensics_and_incident_response,,linux-audit-logs,,analyzing
analyzing-linux-elf-malware,skill,malware_analysis_and_reverse_engineering,,malware,,analyzing
analyzing-linux-kernel-rootkits,skill,malware_analysis_and_reverse_engineering,,rootkit,,analyzing
analyzing-linux-system-artifacts,skill,digital_forensics_and_incident_response,,linux-system-artifacts,,analyzing
analyzing-lnk-file-and-jump-list-artifacts,skill,digital_forensics_and_incident_response,,lnk-file,,analyzing
analyzing-macro-malware-in-office-documents,skill,malware_analysis_and_reverse_engineering,,malware,,analyzing
analyzing-malicious-pdf-with-peepdf,skill,malware_analysis_and_reverse_engineering,peepdf,peepdf,,analyzing
analyzing-malicious-url-with-urlscan,skill,detection_engineering_and_threat_hunting,urlscan,malicious-url,,analyzing
